minute,cpu_load
2565,39.55333709716797
2569,0.002338409423828125
2580,0.004680633544921875
2581,0.001102447509765625
2583,0.005401611328125
2584,0.02748870849609375
2585,0.05727577209472656
2586,0.0018482208251953125
2587,0.005809783935546875
2589,0.00325775146484375
2590,0.9866142272949219
2600,0.15634918212890625
2610,0.0013885498046875
2611,0.00223541259765625
2612,0.00463104248046875
2613,0.0022001266479492188
2614,0.002758026123046875
2615,0.0005035400390625
2620,0.008892059326171875
2627,0.028176307678222656
2635,0.012231826782226562
2645,0.0096282958984375
2650,0.00160980224609375
2651,0.0005245208740234375
2658,0.0037078857421875
2661,0.0007305145263671875
2670,1.2337350845336914
2675,0.000156402587890625
2680,0.04784107208251953
2681,0.00039768218994140625
2685,0.0330047607421875
2690,0.008960723876953125
2705,0.011751174926757812
2710,0.15683746337890625
2711,0.0006389617919921875
2715,2.0764389038085938
2720,0.001483917236328125
2730,0.00609588623046875
2755,0.020172119140625
2758,0.001926422119140625
2760,0.00911712646484375
2765,0.694610595703125
2775,0.00044345855712890625
2790,0.93133544921875
2798,0.0
2800,0.736175537109375
2815,0.0086517333984375
2820,0.0357666015625
2830,8.218618392944336
2832,0.000396728515625
2834,0.00264739990234375
2835,0.012463569641113281
2858,0.5466861724853516
2862,0.0005350112915039062
2870,5.07354736328125
2880,0.43700408935546875
2885,0.003124237060546875
2897,0.00040912628173828125
2905,0.0041961669921875
2910,22.30078125
2915,0.029664993286132812
2916,0.0122833251953125
2917,0.00586700439453125
2925,0.0052032470703125
2940,0.0018205642700195312
2945,0.019012451171875
2955,9.5367431640625e-05
2965,0.00885772705078125
2970,2.0661163330078125
2975,0.0067138671875
2980,3.78863525390625
3003,0.004730224609375
3010,3.5079345703125
3011,0.0007114410400390625
3030,0.0006361007690429688
3035,0.0007104873657226562
3040,0.00027370452880859375
3050,47.581787109375
3055,0.00577545166015625
3058,0.003223419189453125
3060,0.08371353149414062
3075,0.083465576171875
3079,0.01764678955078125
3080,0.14597320556640625
3100,0.00615692138671875
3105,0.00029754638671875
3110,0.0038509368896484375
3120,0.05419921875
3125,0.095306396484375
3135,0.01158905029296875
3150,0.07935905456542969
3155,0.013427734375
3157,0.0
3165,0.8795623779296875
3166,0.00047206878662109375
3170,0.0097198486328125
3190,0.008566856384277344
3195,0.0890960693359375
3197,0.0010728836059570312
3205,0.025961875915527344
3215,0.5464181900024414
3230,0.0003948211669921875
3239,2.618408203125
3240,0.071136474609375
3245,0.32135581970214844
3260,0.12809371948242188
3265,2.6985387802124023
3270,0.02838134765625
3285,0.042130470275878906
3290,0.395538330078125
3300,0.02163410186767578
3305,0.00331878662109375
3310,1.0720443725585938
3325,0.00726318359375
3360,0.03302001953125
3365,0.02872467041015625
3368,0.00154876708984375
3375,0.010951995849609375
3386,0.0002460479736328125
3390,0.007510185241699219
3405,0.011554718017578125
3415,0.006072998046875
3430,0.1327190399169922
3453,0.025488853454589844
3455,0.002017974853515625
3466,0.0001888275146484375
3485,0.1056060791015625
3491,0.00021076202392578125
3500,0.7047328948974609
3515,0.031798362731933594
3524,0.0012378692626953125
3535,0.06186676025390625
3543,0.00021076202392578125
3555,0.008803367614746094
3560,0.00011730194091796875
3570,0.011066436767578125
3590,0.03810882568359375
3597,0.00039005279541015625
3600,0.02809429168701172
3605,0.00519561767578125
3610,47.07805633544922
3615,0.0004825592041015625
3620,0.014010429382324219
3670,0.34654998779296875
3673,0.0007476806640625
3675,0.09609508514404297
3685,0.0114288330078125
3695,0.006374359130859375
3696,0.0
3705,0.41565513610839844
3709,0.0002288818359375
3726,0.23654937744140625
3730,0.0031986236572265625
3745,0.1873779296875
3750,9.918212890625e-05
3760,0.8703193664550781
3770,0.0035247802734375
3775,0.0481719970703125
3795,0.009572982788085938
3805,0.04988861083984375
3810,0.010528564453125
3820,0.3046989440917969
3840,0.00018024444580078125
3845,0.0872802734375
3846,0.0002880096435546875
3853,0.0
3855,0.0012760162353515625
3857,0.003177642822265625
3860,1.0161209106445312
3865,0.002323150634765625
3875,0.027435302734375
3885,0.011775970458984375
3890,0.41852760314941406
3900,0.41933441162109375
3911,0.00382232666015625
3915,0.04923439025878906
3920,8.4462890625
3930,0.7955093383789062
3937,0.00043773651123046875
3938,0.00060272216796875
3940,0.04648590087890625
3941,0.06076812744140625
3949,0.0247802734375
3950,0.0005950927734375
3971,0.00420379638671875
3976,0.01613616943359375
3980,0.010345458984375
3982,0.55712890625
3988,0.0001888275146484375
4000,0.0016956329345703125
4005,0.019763946533203125
4012,0.00504302978515625
4020,0.59088134765625
4025,0.00392913818359375
4040,1.73553466796875
4055,0.006824493408203125
4058,0.002391815185546875
4060,0.028230667114257812
4075,0.03570556640625
4080,0.003849029541015625
4085,7.43865966796875e-05
4090,0.00665283203125
4095,0.025798797607421875
4097,0.00424957275390625
4105,0.0002651214599609375
4119,0.003326416015625
4120,0.044631004333496094
4125,0.017248153686523438
4130,0.01531982421875
4135,0.017486572265625
4159,0.0008230209350585938
4160,0.1902313232421875
4165,8.0108642578125e-05
4180,0.032958984375
4190,0.008392333984375
4194,2.1669998168945312
4205,21.46466064453125
4208,0.00029850006103515625
4216,0.00150299072265625
4225,9.1552734375e-05
4226,0.0
4230,0.00341796875
4239,0.00514984130859375
4240,0.002796173095703125
4245,0.7470703125
4250,0.47873878479003906
4255,0.32940673828125
4261,0.0
4280,1.7852783203125
4295,0.03277587890625
4300,0.0055446624755859375
4303,0.001880645751953125
4310,0.0693359375
4315,0.135009765625
4325,0.027617454528808594
4330,0.024906158447265625
4335,0.00162506103515625
4340,0.023895263671875
4345,0.2266254425048828
4350,1.3372802734375
4352,0.0044708251953125
4355,0.112579345703125
4360,0.09759521484375
4370,0.00164794921875
4373,0.010890960693359375
4385,0.0107269287109375
4387,0.0084686279296875
4392,0.0009050369262695312
4395,0.0014171600341796875
4400,0.017879486083984375
4404,0.00263214111328125
4405,0.002838134765625
4415,0.0012340545654296875
4427,0.0
4435,0.0248565673828125
4447,0.00038433074951171875
4450,0.04813385009765625
4453,0.4355621337890625
4455,0.00013446807861328125
4465,0.06370067596435547
4475,0.335540771484375
4480,0.030792236328125
4483,0.004385948181152344
4485,0.446044921875
4500,0.0026702880859375
4518,0.06338691711425781
4525,0.6389675140380859
4545,0.005364418029785156
4559,0.0017452239990234375
4560,0.9293060302734375
4575,0.3263092041015625
4600,0.36345863342285156
4605,0.0051212310791015625
4615,0.000240325927734375
4620,0.5325899124145508
4625,0.205413818359375
4640,0.02399444580078125
4645,0.00782012939453125
4650,0.00033283233642578125
4655,0.0009746551513671875
4659,0.0009288787841796875
4670,0.01720142364501953
4677,0.00046634674072265625
4680,0.002658843994140625
4696,0.00016880035400390625
4700,0.73199462890625
4710,1.5559577941894531
4715,5.4638671875
4716,0.00033473968505859375
4720,0.906402587890625
4732,0.0
4735,0.001552581787109375
4745,2.829833984375
4750,2.0713348388671875
4752,0.0
4760,0.02740478515625
4775,0.002613067626953125
4778,0.0006561279296875
4795,0.009081840515136719
4796,0.00026226043701171875
4801,0.0007238388061523438
4810,1.94091796875
4819,0.0208282470703125
4820,0.0650177001953125
4849,0.0
4860,0.2171173095703125
4862,0.0
4870,3.310791015625
4875,0.00018310546875
4900,0.227294921875
4903,0.000431060791015625
4920,0.000457763671875
4926,7.7834930419921875
4935,0.018768310546875
4940,0.26126861572265625
4945,0.02227783203125
4955,0.00482940673828125
4960,18.8671875
4962,8.869171142578125e-05
4975,0.00347900390625
4989,0.020172119140625
4990,0.269317626953125
5001,0.011181831359863281
5003,9.5367431640625e-07
5005,0.056732177734375
5010,0.0003509521484375
5015,0.010494232177734375
5025,0.022613525390625
5035,0.020959854125976562
5045,0.00453948974609375
5046,1.9073486328125e-06
5048,0.0011310577392578125
5067,0.02443981170654297
5070,0.01934814453125
5075,0.0400543212890625
5090,0.06114482879638672
5095,0.42705821990966797
5096,0.011444091796875
5097,0.0003204345703125
5101,0.0
5110,0.447265625
5120,0.01203155517578125
5145,0.560272216796875
5160,0.10758399963378906
5165,0.002593994140625
5178,0.0008831024169921875
5195,0.007523536682128906
5200,0.005541801452636719
5220,0.001499176025390625
5230,0.04388427734375
5235,0.025238037109375
5240,0.2009124755859375
5245,0.0018253326416015625
5246,0.0
5255,0.10784912109375
5260,0.0858917236328125
5275,0.006783485412597656
5285,2.454038619995117
5291,0.0
5295,0.0029449462890625
5296,0.0018672943115234375
5300,0.0029649734497070312
5302,0.00044727325439453125
5315,0.0005865097045898438
5330,0.10833740234375
5335,0.0218505859375
5345,0.00013828277587890625
5350,0.0007476806640625
5361,0.0006303787231445312
5363,0.003650665283203125
5370,0.0001983642578125
5380,0.13286209106445312
5381,0.01611328125
5385,0.23262405395507812
5395,1.68365478515625
5405,0.000133514404296875
5410,0.03961181640625
5415,0.035400390625
5423,0.00261688232421875
5430,0.21026611328125
5435,0.5115966796875
5440,0.31097412109375
5450,0.7129669189453125
5455,0.122222900390625
5475,0.0008487701416015625
5480,0.59326171875
5490,9.632110595703125e-05
5495,3.397536277770996
5520,0.002651214599609375
5525,26.486328125
5539,0.08955001831054688
5550,0.014960289001464844
5555,0.731170654296875
5565,0.06184577941894531
5580,0.0139617919921875
5590,0.0022430419921875
5595,0.00016880035400390625
5610,1.23046875
5615,0.232421875
5632,0.0002422332763671875
5640,0.026309967041015625
5680,0.027008056640625
