minute,cpu_avg,cpu_max,mem_avg,assigned_mem
1150,0.03958702087402344,0.0106353759765625,0.03177515665690104,0.0585517883300775
1155,0.0589911142985026,0.04132080078125,0.051479339599609375,0.0
1160,0.05853970845540365,0.0687255859375,0.05375035603841146,0.0686492919921875
1170,0.04674053192138672,0.0005407333374023438,0.03816064198811849,0.0044097900390625
1172,0.007311820983886719,0.0,0.0067933400472005205,0.0127639770507809
1175,0.0008900960286458334,0.0055084228515625,0.0034503936767578125,0.191650390625
1180,0.0014403661092122395,0.00420379638671875,0.004142443339029948,0.0072174072265625
1181,0.0028320948282877603,0.00037860870361328125,0.004793802897135417,0.0577392578125
1185,0.002605438232421875,0.00513458251953125,0.0025316874186197915,0.0081329345703125
1195,0.019392649332682293,0.028900146484375,0.0029474894205729165,0.0083885192871091
1200,0.021874745686848957,0.00196075439453125,0.023676554361979168,0.0
1205,0.08153851826985677,0.021514892578125,0.055355072021484375,0.2443389892578125
1210,1.725118637084961,0.014434814453125,0.07688013712565105,0.10592651367184641
1212,1.721483866373698,0.00035762786865234375,0.055484771728515625,0.0
1220,1.6666920979817708,0.00628662109375,0.08447774251302083,0.205078125
1222,0.0095367431640625,0.00026035308837890625,0.0631256103515625,0.87646484375
1225,0.30567296346028644,0.0156097412109375,0.4097239176432292,1.177276611328125
1230,0.32914988199869794,0.0013256072998046875,0.6753762563069662,7.6315155029296875
1241,0.3257395426432292,0.00399017333984375,0.6740055084228516,0.0014724731445312
1245,0.029635111490885418,0.00146484375,0.32770856221516925,0.0
1250,0.009202957153320312,0.0004482269287109375,0.032566070556640625,0.9189910888671875
1254,0.008798599243164062,0.0,0.03245671590169271,0.0
1263,0.008529027303059896,1.71661376953125e-05,0.032150586446126304,0.0014858245849609
1265,0.020753224690755207,0.0833740234375,0.013321240743001303,0.0
1275,2.3954718907674155,0.015838623046875,2.6078999837239585,10.466532707214355
1295,2.395780881245931,0.0003795623779296875,2.6083192825317383,0.0
1302,2.3751885096232095,0.0018520355224609375,2.5950949986775718,0.0002737045288085
1305,0.10614204406738281,0.0141143798828125,0.03177960713704427,0.3188858032226538
1311,0.1073751449584961,0.003002166748046875,0.0314172108968099,0.0022459030151365
1320,0.17159493764241537,0.005035400390625,0.1787408192952474,0.7939605712890564
1322,0.06595738728841145,0.0003108978271484375,0.14743582407633463,0.0023422241210937
1325,0.06482092539469402,0.00302886962890625,0.14786434173583984,0.0039520263671875
1335,0.009418805440266928,0.0152435302734375,0.0034335454305013022,0.0
1338,0.019983927408854168,0.03521728515625,0.005588531494140625,0.011962890625
1340,0.11549631754557292,0.0185546875,0.08876673380533855,0.0
1355,2.7282333374023438,0.06005859375,0.38791529337565106,3.3870697021484375
1357,2.7176335652669272,0.0,0.3857564926147461,0.000823974609375
1360,2.7440223693847656,0.017913818359375,0.3495181401570638,0.2358798980712834
1365,0.12256399790445964,0.0005102157592773438,0.0481109619140625,0.013790130615234
1370,0.19852924346923828,0.043701171875,0.12331867218017578,0.0
1375,0.21213245391845703,0.0118865966796875,0.19454034169514975,0.0074234008789062
1382,1.5758902231852214,0.0838623046875,0.308746337890625,0.735076904296875
1385,1.5018596649169922,0.0091094970703125,0.23669942220052084,0.0164909362792968
1395,1.366650899251302,0.00970458984375,0.13232739766438803,0.061737060546875
1405,0.033215840657552086,0.03765869140625,0.03773053487141927,0.0
1418,0.0312811533610026,0.0,0.052485148111979164,1.4511737823485154
1425,0.2554728190104167,0.0789794921875,0.3084125518798828,0.0074234008789062
1431,0.22560628255208334,0.0080718994140625,0.28824933369954425,0.0009164810180664
1435,0.7669270833333334,0.0927734375,0.8727337519327799,1.703125
1445,0.5421765645345052,0.001110076904296875,0.6028388341267904,0.0078125
1450,0.5419619878133138,0.001789093017578125,0.6048154830932617,0.0083827972412105
1455,0.16142050425211588,0.016510009765625,0.08689594268798828,1.4924507141113075
1457,0.16149616241455078,0.00023174285888671875,0.08659553527832031,0.0
1465,0.18842760721842447,0.0155029296875,0.1180419921875,0.14384460449218658
1485,0.0441277821858724,0.00946044921875,0.038810412089029946,0.0416870117187488
1490,0.08709462483723958,0.01568603515625,0.08077621459960938,0.1678466796874999
1491,0.059990882873535156,0.00026226043701171875,0.047316551208496094,0.0
1493,0.043631553649902344,0.002056121826171875,0.042133331298828125,0.0002822875976562
1495,4.251310030619304,0.009796142578125,7.044146219889323,0.0
1530,14.435541152954102,0.6767578125,14.189969062805176,13.336090087890625
1540,14.439744313557943,0.05413818359375,14.196311950683594,0.020721435546875
1550,11.397478739420572,0.008453369140625,8.829915364583334,6.957710266113232
1555,1.2130324045817058,0.0008068084716796875,1.684469223022461,0.0072250366210936
1575,1.2098649342854817,0.0080718994140625,1.6833585103352864,0.0608367919921875
1578,0.0013790130615234375,0.0008869171142578125,0.0058612823486328125,0.0014915466308593
1584,0.0016797383626302083,0.00083160400390625,0.005671183268229167,0.03125
1590,0.057187398274739586,0.037841796875,0.040601094563802086,0.42718505859375
1595,0.5194842020670573,0.0654296875,0.3851083119710286,0.516632080078125
1600,0.5192394256591797,0.00714874267578125,0.3852698008219401,0.0017471313476562
1615,0.46403757731119794,0.0005950927734375,0.3499304453531901,0.0401153564453114
1625,0.06315104166666667,0.05560302734375,0.013113021850585938,0.0
1630,4.312354405721028,0.34912109375,3.2594966888427734,0.1357421875
1634,4.311444600423177,0.007293701171875,3.2549451192220054,0.006378173828125
1645,4.286477406819661,0.00714874267578125,3.2665351231892905,1.734375
1646,0.04051081339518229,0.14208984375,0.0211483637491862,0.0076828002929687
1655,0.040424346923828125,0.00443267822265625,0.021859169006347656,0.0074920654296875
1665,0.1834570566813151,0.0986328125,0.015527089436848959,0.1379928588867162
1710,0.18030802408854166,0.00147247314453125,0.014784495035807291,0.020599365234375
1717,0.1798426310221354,0.0,0.013757705688476562,0.0027866363525388
1720,0.0002536773681640625,0.0,0.0007212956746419271,0.0
1735,0.0018860499064127605,0.002544403076171875,0.0008611679077148438,0.00350284576416
1738,0.0026426315307617188,0.000308990478515625,0.0008490880330403646,0.0
1740,0.0030342737833658853,0.0006895065307617188,0.006284077962239583,0.0377044677734375
1748,0.002101898193359375,0.0044708251953125,0.0054473876953125,0.0
1750,0.015250205993652344,0.002986907958984375,0.0693957010904948,0.2691268920898396
1758,0.031425793965657554,0.00577545166015625,0.07658767700195312,0.0
1765,0.25247732798258465,0.2021484375,0.2580858866373698,0.0
1785,0.24946721394856772,0.0009508132934570312,0.20528284708658853,0.0
1810,0.39050928751627606,0.085205078125,0.2918802897135417,0.579376220703125
1820,0.19308090209960938,0.30712890625,0.125823974609375,0.0740966796875
1822,0.18463548024495444,0.00043773651123046875,0.1167144775390625,0.0985279083251928
1825,0.14307435353597006,0.056640625,0.026247342427571613,0.2421875
1828,0.11861292521158855,2.86102294921875e-06,0.010920842488606771,0.0
